title,release year,seasons,ratings,awards,genre,language,age group
orange is the new black,2013,6,5,46,drama,english,16+
black mirror,2011,4,4.5,26,thriller,english,16+
chef's table,2015,5,4.5,20,documentary,english,16+
making a muderer,2015,2,4,11,documentary,english,16+
quantico,2015,3,3.5,4,thriller,english,13+
13 reasons why,2017,2,4,10,mystery,english,16+
sherlock,2010,4,4.5,21,crime,english,13+
suits,2011,7,4.5,23,drama,english,13+
birdbox,2018,1,3.5,5,thriller,english,16+
house of cards,2013,6,4.5,27,thriller,english,13+
the crown,2016,2,4.5,24,drama,english,16+
narcos,2015,3,4.5,25,crime,spanish,16+
sense8,2015,2,4,13,sci-fiction,english,16+
stranger things,2016,2,4.5,20,horror,english,16+
a series of unfortunate events,2017,3,5,40,mystery,english,7+
marco polo,2014,2,4,12,adventure,english,16+
five came back,2017,1,4,10,documentary,english,16+
bloodline,2018,1,4.5,23,horror,english,18+
bojack horseman,2014,5,3,2,animation,english,16+
veronica,2017,1,3,0,horror,english,16+
zero dark thirty,2012,1,3.5,19,thriller,arabic,16+
gilmore girls,2000,7,4,15,comedy,english,13+
one day at a time,2017,2,4,16,sitcom,english,13+
the davinci code,2006,1,2,0,mystery,english,16+
mom,2017,1,3.5,30,thriller,hindi,16+
masaan,2015,1,4,12,drama,hindi,16+
dear zindagi,2016,1,4,10,drama,hindi,13+
the boss baby,2018,2,3,0,animation,english,7+
close,2019,1,3.5,12,action,english,16+
